Name,Symbol,Market Cap (USD),Price (USD),Circulating Supply (USD),Volume (24h),Change (1h),Change (24h),Change (7d)
Bitcoin,BTC,"$676,439,627,190","$36,360.22","18,603,837 BTC","$54,134,644,169",-1.73%,3.39%,7.76%
Ethereum,ETH,"$140,924,318,219","$1,232.90","114,303,110 ETH","$29,110,320,974",-0.69%,1.87%,16.16%
Tether,USDT,"$24,361,307,300",$1.00,"24,352,132,870 USDT *","$87,734,020,251",0.00%,0.00%,0.09%
Polkadot,DOT,"$15,190,324,279",$16.85,"901,323,746 DOT *","$4,147,297,687",0.10%,0.11%,112.53%
XRP,XRP,"$12,824,384,012",$0.2825,"45,404,028,640 XRP *","$3,309,319,727",-0.85%,2.54%,-0.50%
Cardano,ADA,"$11,594,482,990",$0.3727,"31,112,484,646 ADA","$4,376,087,973",0.73%,1.65%,39.79%
Litecoin,LTC,"$9,824,971,909",$148.18,"66,306,204 LTC","$6,552,349,667",-1.99%,5.66%,10.21%
Bitcoin Cash,BCH,"$9,195,771,492",$493.58,"18,630,700 BCH","$4,513,249,851",-0.45%,3.89%,2.69%
Chainlink,LINK,"$8,685,989,832",$21.63,"401,509,556 LINK *","$4,853,081,295",-0.43%,6.25%,52.19%
Stellar,XLM,"$6,573,827,997",$0.2975,"22,095,601,011 XLM *","$1,219,627,599",-0.13%,0.75%,21.21%
Binance Coin,BNB,"$6,303,820,971",$44.27,"142,406,561 BNB *","$710,511,872",-1.36%,6.18%,16.08%
USD Coin,USDC,"$5,080,362,871",$1.00,"5,078,965,633 USDC *","$1,405,296,085",-0.04%,0.02%,-0.09%
Wrapped Bitcoin,WBTC,"$4,031,685,516","$36,363.21","110,873 WBTC *","$106,872,673",-1.46%,3.64%,8.32%
Bitcoin SV,BSV,"$3,800,262,634",$204.00,"18,628,427 BSV","$994,338,379",-0.38%,2.20%,6.65%
Monero,XMR,"$2,708,825,015",$152.04,"17,816,390 XMR","$1,833,575,386",-2.67%,-1.06%,-2.42%
EOS,EOS,"$2,613,598,739",$2.78,"939,580,095 EOS *","$2,249,420,557",-0.92%,1.89%,4.84%
Uniswap,UNI,"$2,558,990,948",$9.23,"277,376,700 UNI *","$2,441,578,880",-1.29%,11.88%,76.58%
Aave,AAVE,"$2,261,962,482",$184.66,"12,249,023 AAVE *","$526,296,407",-1.56%,-1.94%,68.87%
Tezos,XTZ,"$2,247,670,059",$2.97,"757,135,005 XTZ *","$436,068,276",-1.28%,5.02%,26.85%
TRON,TRX,"$2,228,462,260",$0.03110,"71,659,657,369 TRX *","$1,138,300,831",-1.01%,3.98%,7.50%
NEM,XEM,"$2,026,431,768",$0.2252,"8,999,999,999 XEM *","$82,855,385",-0.16%,2.93%,7.88%
THETA,THETA,"$2,014,411,635",$2.01,"1,000,000,000 THETA *","$103,852,660",-0.75%,1.59%,23.03%
Neo,NEO,"$1,901,361,708",$26.95,"70,538,831 NEO *","$1,516,342,733",1.29%,17.94%,16.33%
VeChain,VET,"$1,864,072,549",$0.02898,"64,315,576,989 VET *","$404,252,457",-0.98%,10.99%,25.40%
Cosmos,ATOM,"$1,860,687,046",$8.90,"208,995,020 ATOM *","$932,820,240",0.47%,6.63%,62.68%
Crypto.com Coin,CRO,"$1,824,891,456",$0.08021,"22,751,598,172 CRO *","$69,589,990",-1.89%,4.46%,23.34%
Synthetix,SNX,"$1,742,130,900",$15.17,"114,841,533 SNX *","$175,198,763",0.20%,-0.89%,24.88%
Maker,MKR,"$1,425,121,309","$1,431.09","995,829 MKR *","$148,576,944",-1.06%,-1.36%,10.08%
Dai,DAI,"$1,383,169,976",$1.00,"1,382,480,036 DAI *","$251,685,572",-0.03%,0.00%,0.00%
UNUS SED LEO,LEO,"$1,328,535,250",$1.33,"999,498,893 LEO *","$17,311,892",0.15%,-0.04%,-0.61%
IOTA,MIOTA,"$1,301,541,172",$0.4683,"2,779,530,283 MIOTA *","$72,110,507",2.94%,12.12%,29.46%
Dash,DASH,"$1,245,207,984",$125.45,"9,926,044 DASH","$989,647,950",-0.42%,1.63%,-2.35%
Dogecoin,DOGE,"$1,163,883,995",$0.009093,"127,997,773,252 DOGE","$233,501,870",-0.97%,0.34%,6.98%
Binance USD,BUSD,"$1,156,648,794",$1.00,"1,156,648,794 BUSD *","$1,693,137,718",0.01%,-0.03%,0.00%
yearn.finance,YFI,"$1,132,607,993","$37,792.92","29,969 YFI *","$1,017,093,806",-0.43%,14.06%,26.27%
Zcash,ZEC,"$1,118,986,429",$102.31,"10,937,288 ZEC","$1,336,369,331",-1.83%,2.25%,6.34%
Celsius,CEL,"$1,103,378,243",$4.62,"238,863,520 CEL *","$19,935,217",1.07%,-0.56%,-1.52%
Filecoin,FIL,"$1,066,277,790",$23.92,"44,584,205 FIL","$461,590,042",-0.51%,-3.07%,10.86%
Huobi Token,HT,"$1,054,302,130",$5.45,"193,433,525 HT *","$235,433,449",0.22%,5.32%,14.25%
Solana,SOL,"$1,023,555,158",$3.91,"261,900,137 SOL *","$91,115,162",0.07%,8.93%,33.71%
Avalanche,AVAX,"$1,022,366,502",$13.29,"76,937,055 AVAX *","$181,499,847",1.19%,-0.97%,106.32%
Compound,COMP,"$993,794,278",$223.49,"4,446,687 COMP *","$258,131,785",-2.25%,5.38%,35.41%
Revain,REV,"$994,025,532",$0.01169,"85,061,485,690 REV *","$6,855,747",-0.04%,0.28%,0.34%
FTX Token,FTT,"$977,708,246",$10.36,"94,346,958 FTT *","$35,178,271",-2.17%,12.06%,29.10%
Kusama,KSM,"$918,632,649",$108.46,"8,470,098 KSM *","$208,899,693",-0.40%,8.75%,65.14%
SushiSwap,SUSHI,"$912,473,809",$7.17,"127,244,443 SUSHI *","$599,315,248",-3.29%,2.62%,82.81%
Ethereum Classic,ETC,"$897,548,054",$7.72,"116,313,299 ETC","$1,078,728,233",-0.78%,2.50%,3.34%
Zilliqa,ZIL,"$832,937,297",$0.07674,"10,853,919,968 ZIL","$159,273,514",0.85%,4.62%,26.98%
Waves,WAVES,"$784,436,314",$7.54,"104,096,428 WAVES *","$295,171,906",0.69%,1.46%,32.51%
The Graph,GRT,"$782,383,834",$0.6281,"1,245,666,867 GRT *","$977,589,132",3.08%,37.45%,122.00%
Decred,DCR,"$695,652,170",$55.65,"12,499,820 DCR","$10,783,214",-1.49%,-1.06%,18.28%
Algorand,ALGO,"$664,179,840",$0.5482,"1,211,536,244 ALGO","$313,163,175",-0.77%,3.05%,31.82%
Elrond,EGLD,"$656,895,398",$39.35,"16,692,298 EGLD *","$64,550,135",-3.03%,5.00%,14.60%
UMA,UMA,"$616,426,002",$11.08,"55,632,665 UMA *","$33,573,515",1.63%,8.96%,36.90%
HedgeTrade,HEDG,"$615,210,889",$1.76,"348,731,468 HEDG *","$485,672",-5.59%,14.63%,300.17%
Ontology,ONT,"$561,213,952",$0.6966,"805,646,909 ONT *","$261,269,765",-0.55%,8.34%,22.71%
OMG Network,OMG,"$556,071,704",$3.96,"140,245,398 OMG *","$925,155,100",0.56%,12.03%,30.60%
Ren,REN,"$511,640,177",$0.5782,"884,917,287 REN *","$193,145,489",-1.00%,-5.71%,64.33%
Loopring,LRC,"$496,963,618",$0.4107,"1,209,908,772 LRC *","$113,661,021",-1.27%,8.15%,31.71%
Nano,NANO,"$480,483,819",$3.61,"133,248,297 NANO *","$78,138,046",-3.30%,7.50%,34.59%
NEAR Protocol,NEAR,"$481,362,603",$2.44,"196,911,019 NEAR *","$70,927,427",2.11%,-5.09%,53.66%
renBTC,RENBTC,"$478,539,406","$36,278.59","13,191 RENBTC *","$13,274,288",-1.54%,3.49%,8.15%
0x,ZRX,"$444,352,571",$0.5923,"750,237,563 ZRX *","$192,671,737",-0.47%,9.13%,36.68%
ICON,ICX,"$429,988,226",$0.7373,"583,166,713 ICX *","$84,730,709",0.88%,13.05%,26.35%
Hedera Hashgraph,HBAR,"$421,052,465",$0.06214,"6,775,486,160 HBAR *","$56,656,835",2.53%,9.25%,51.92%
Basic Attention Token,BAT,"$417,805,236",$0.2821,"1,480,798,565 BAT *","$271,761,593",-1.67%,9.20%,25.61%
TrueUSD,TUSD,"$415,953,639",$1.0000,"415,955,606 TUSD *","$90,919,300",-0.08%,-0.04%,-0.03%
Reserve Rights,RSR,"$403,575,011",$0.04316,"9,349,999,000 RSR *","$291,466,380",0.47%,8.95%,16.73%
OKB,OKB,"$391,632,064",$6.53,"60,000,000 OKB *","$187,969,045",-0.05%,9.95%,6.10%
Terra,LUNA,"$387,403,991",$0.7991,"484,824,647 LUNA *","$13,860,598",-0.02%,0.41%,-0.62%
DigiByte,DGB,"$377,176,700",$0.02703,"13,951,692,256 DGB","$17,638,449",-1.91%,1.78%,3.58%
BitTorrent,BTT,"$360,133,671",$0.0003638,"989,957,543,545 BTT *","$163,941,224",-0.20%,4.39%,5.95%
Blockstack,STX,"$360,921,739",$0.4879,"739,781,894 STX *","$7,343,246",-1.74%,1.92%,17.78%
Nexo,NEXO,"$359,753,635",$0.6424,"560,000,011 NEXO *","$7,365,375",-0.51%,1.82%,11.57%
IOST,IOST,"$318,822,769",$0.01947,"16,374,175,762 IOST *","$525,112,885",-0.48%,8.04%,123.36%
THORChain,RUNE,"$317,535,338",$2.00,"158,432,088 RUNE *","$26,172,100",0.86%,3.25%,59.81%
Qtum,QTUM,"$317,557,174",$3.25,"97,566,128 QTUM *","$729,985,176",-0.25%,8.21%,14.36%
Horizen,ZEN,"$313,785,503",$29.42,"10,666,388 ZEN","$66,893,565",-0.87%,20.77%,15.92%
Curve DAO Token,CRV,"$286,122,956",$1.49,"192,442,839 CRV *","$384,250,890",3.25%,-2.02%,132.10%
Energy Web Token,EWT,"$279,894,318",$9.31,"30,062,138 EWT *","$1,986,821",-2.88%,6.72%,47.48%
SwissBorg,CHSB,"$281,293,087",$0.3021,"931,254,656 CHSB *","$1,627,612",-1.16%,2.05%,14.17%
Celo,CELO,"$279,710,200",$2.25,"124,447,717 CELO *","$17,611,505",1.80%,8.61%,15.11%
HUSD,HUSD,"$280,220,702",$1.00,"279,837,571 HUSD *","$49,054,129",0.14%,0.03%,0.08%
Bitcoin BEP2,BTCB,"$255,917,025","$36,451.98","7,021 BTCB *","$2,751,678",-1.79%,4.26%,9.27%
Voyager Token,VGX,"$253,703,006",$1.14,"222,295,208 VGX *","$10,814,284",0.79%,6.60%,115.38%
Ocean Protocol,OCEAN,"$245,747,230",$0.5865,"419,026,837 OCEAN *","$73,706,870",-1.38%,10.12%,59.59%
Paxos Standard,PAX,"$245,855,380",$1.00,"244,951,954 PAX *","$252,731,061",0.49%,0.63%,0.17%
Kyber Network,KNC,"$244,289,048",$1.21,"201,317,421 KNC *","$63,635,521",-0.79%,2.02%,25.73%
Quant,QNT,"$230,544,104",$19.10,"12,072,738 QNT *","$3,772,862",-0.23%,8.13%,22.15%
Verge,XVG,"$219,793,455",$0.01338,"16,420,970,543 XVG","$21,900,781",-0.59%,8.15%,8.27%
Siacoin,SC,"$219,186,583",$0.004837,"45,318,742,992 SC","$13,369,740",2.40%,6.39%,14.58%
Augur,REP,"$218,749,796",$19.89,"11,000,000 REP *","$28,756,584",-0.61%,3.95%,12.05%
Bitcoin Gold,BTG,"$217,840,103",$12.44,"17,513,924 BTG","$26,740,052",-1.02%,1.99%,2.60%
Ampleforth,AMPL,"$210,681,104",$1.06,"198,199,715 AMPL *","$13,142,424",3.39%,18.26%,33.92%
Band Protocol,BAND,"$202,977,783",$9.90,"20,494,033 BAND *","$211,378,798",0.46%,-2.26%,26.33%
NXM,NXM,"$203,901,559",$33.28,"6,126,031 NXM *","$16,929,595",-1.89%,2.60%,16.21%
Enjin Coin,ENJ,"$196,861,434",$0.2392,"823,130,411 ENJ *","$134,015,625",-3.05%,4.81%,52.87%
ABBC Coin,ABBC,"$196,159,829",$0.2313,"848,013,973 ABBC","$35,497,364",-0.74%,0.50%,22.22%
TerraUSD,UST,"$194,846,987",$1.00,"194,326,725 UST *","$9,029,530",0.09%,0.21%,0.03%
Status,SNT,"$193,620,556",$0.05579,"3,470,483,788 SNT *","$36,964,398",-0.13%,-1.04%,19.12%
Matic Network,MATIC,"$178,506,296",$0.03670,"4,864,264,338 MATIC *","$41,442,718",-0.22%,11.93%,40.16%
Aragon,ANT,"$179,306,480",$4.53,"39,609,523 ANT *","$110,824,730",1.86%,-2.40%,37.40%
Bancor,BNT,"$178,458,682",$1.76,"101,187,339 BNT *","$46,128,643",-0.76%,1.69%,28.49%
Lisk,LSK,"$174,119,942",$1.37,"126,986,062 LSK *","$8,540,263",-0.35%,1.69%,10.20%
Decentraland,MANA,"$171,604,277",$0.1149,"1,494,069,668 MANA *","$40,855,227",1.79%,7.04%,27.61%
Gnosis,GNO,"$165,412,132",$109.94,"1,504,589 GNO *","$316,062",0.15%,0.78%,11.87%
Arweave,AR,"$159,079,167",$4.76,"33,394,701 AR *","$8,808,995",-2.13%,5.87%,38.79%
Balancer,BAL,"$147,149,821",$21.19,"6,943,831 BAL *","$124,141,063",-2.81%,15.69%,38.47%
Ravencoin,RVN,"$145,596,722",$0.01834,"7,938,220,000 RVN","$34,314,846",-2.08%,10.53%,27.72%
Bitcoin Diamond,BCD,"$137,182,352",$0.7356,"186,492,898 BCD","$4,515,718",0.05%,0.76%,-5.42%
Theta Fuel,TFUEL,"$134,376,943",$0.02708,"4,962,631,792 TFUEL *","$7,257,265",-0.74%,1.70%,23.81%
RSK Infrastructure Framework,RIF,"$133,936,989",$0.1945,"688,553,344 RIF *","$4,639,186",-2.90%,2.94%,29.82%
1inch,1INCH,"$132,447,385",$1.84,"72,164,169 1INCH *","$218,490,327",1.16%,-0.31%,69.94%
Numeraire,NMR,"$131,710,063",$29.49,"4,465,630 NMR *","$12,722,723",-0.01%,9.48%,12.97%
MaidSafeCoin,MAID,"$128,375,850",$0.2837,"452,552,412 MAID *","$915,407",-1.80%,3.04%,0.06%
ZB Token,ZB,"$128,336,487",$0.2770,"463,288,810 ZB *","$14,515,147",-0.27%,1.89%,1.59%
Nervos Network,CKB,"$124,395,782",$0.005270,"23,603,940,562 CKB *","$4,842,446",-1.14%,-0.84%,18.73%
Holo,HOT,"$119,292,365",$0.0007124,"167,441,988,659 HOT *","$11,998,898",-0.64%,1.79%,-17.67%
FunFair,FUN,"$117,130,790",$0.01789,"6,548,879,189 FUN *","$4,729,499",-2.91%,10.76%,93.27%
Helium,HNT,"$114,945,063",$1.73,"66,403,069 HNT","$5,318,168",1.44%,14.29%,32.69%
Orchid,OXT,"$110,852,678",$0.3016,"367,584,352 OXT *","$41,654,429",-1.92%,9.90%,19.38%
Chiliz,CHZ,"$109,149,503",$0.02010,"5,429,628,749 CHZ *","$54,280,556",-1.32%,5.56%,15.68%
Civic,CVC,"$107,498,937",$0.1604,"670,000,000 CVC *","$49,728,815",0.63%,7.19%,41.68%
CyberVein,CVT,"$107,955,331",$0.1018,"1,060,404,496 CVT *","$5,338,544",0.34%,-0.73%,0.47%
MonaCoin,MONA,"$107,062,635",$1.63,"65,729,675 MONA","$7,230,359",-0.70%,0.84%,11.40%
TomoChain,TOMO,"$105,451,914",$1.38,"76,661,775 TOMO","$13,231,291",0.09%,1.39%,19.86%
Kava.io,KAVA,"$103,665,983",$2.21,"46,876,230 KAVA *","$43,050,334",0.35%,5.67%,40.73%
Utrust,UTK,"$102,369,634",$0.2275,"450,000,000 UTK *","$5,990,815",-1.71%,3.26%,41.63%
Oasis Network,ROSE,"$101,030,452",$0.06735,"1,500,000,000 ROSE *","$25,778,930",-4.92%,14.83%,60.72%
PAX Gold,PAXG,"$100,783,707","$1,848.20","54,531 PAXG *","$4,380,972",0.28%,0.30%,-0.03%
iExec RLC,RLC,"$100,201,936",$1.25,"80,070,793 RLC *","$7,058,201",2.21%,13.81%,28.53%
Injective Protocol,INJ,"$98,630,375",$6.52,"15,123,242 INJ *","$20,783,459",4.64%,8.22%,65.27%
Bytom,BTM,"$95,929,453",$0.06841,"1,402,329,007 BTM","$34,661,735",-0.93%,2.81%,12.54%
Unibright,UBT,"$93,074,940",$0.6255,"148,799,999 UBT *","$2,117,021",0.40%,5.59%,17.29%
Serum,SRM,"$92,862,118",$1.86,"50,000,000 SRM *","$192,845,816",-2.82%,9.68%,31.74%
KuCoin Token,KCS,"$93,192,616",$1.16,"80,118,638 KCS *","$9,002,667",-1.38%,0.27%,9.64%
Alpha Finance Lab,ALPHA,"$89,005,385",$0.5111,"174,136,442 ALPHA *","$49,216,552",-0.23%,4.78%,36.36%
Storj,STORJ,"$88,933,625",$0.4054,"219,366,128 STORJ *","$46,607,174",0.38%,5.13%,22.34%
Pundi X,NPXS,"$87,613,332",$0.0003720,"235,514,908,115 NPXS *","$7,657,999",-0.39%,-1.75%,-6.29%
Swipe,SXP,"$86,428,365",$1.03,"83,936,975 SXP *","$120,975,667",1.66%,8.71%,17.83%
DFI.Money,YFII,"$85,419,914","$2,213.18","38,596 YFII *","$286,241,101",-1.66%,14.85%,34.03%
Secret,SCRT,"$83,524,714",$1.20,"69,703,477 SCRT *","$1,874,201",-1.85%,17.79%,101.05%
Ardor,ARDR,"$82,426,386",$0.08251,"998,999,495 ARDR *","$5,779,841",-0.10%,3.03%,11.45%
Firo,FIRO,"$85,052,758",$7.43,"11,440,841 FIRO","$2,549,187",3.56%,38.64%,76.64%
IoTeX,IOTX,"$79,112,089",$0.008203,"9,644,304,442 IOTX *","$6,148,748",-1.73%,4.28%,21.89%
Kleros,PNK,"$79,819,275",$0.1332,"599,320,283 PNK *","$1,963,757",0.28%,3.42%,5.56%
Steem,STEEM,"$79,055,733",$0.2020,"391,340,598 STEEM *","$12,862,448",1.46%,9.44%,18.13%
Golem,GLM,"$79,205,881",$0.1239,"639,401,640 GLM *","$2,799,562",0.70%,3.71%,9.24%
Komodo,KMD,"$77,568,848",$0.6269,"123,732,708 KMD","$3,993,423",0.04%,6.39%,18.79%
Velas,VLX,"$76,481,085",$0.03631,"2,106,296,362 VLX *","$989,685",-0.86%,1.42%,21.65%
BitShares,BTS,"$76,317,301",$0.02548,"2,994,850,000 BTS *","$5,425,613",-1.44%,0.81%,3.17%
Fantom,FTM,"$74,529,550",$0.02928,"2,545,006,273 FTM *","$13,856,404",-1.16%,6.80%,36.92%
district0x,DNT,"$72,811,452",$0.1214,"600,000,000 DNT *","$12,087,039",0.50%,1.57%,34.97%
DxChain Token,DX,"$72,905,421",$0.001458,"50,000,000,000 DX *","$154,596",0.40%,2.15%,-8.21%
aelf,ELF,"$71,748,637",$0.1318,"544,480,200 ELF *","$17,183,751",-0.47%,2.13%,10.67%
Fetch.ai,FET,"$71,386,362",$0.09568,"746,113,681 FET *","$14,643,595",0.74%,16.59%,60.35%
Keep3rV1,KP3R,"$70,278,616",$351.39,"200,001 KP3R *","$15,288,990",-2.83%,16.60%,37.92%
Syntropy,NOIA,"$69,170,571",$0.2152,"321,395,830 NOIA *","$910,768",-1.51%,4.86%,12.46%
SingularityNET,AGI,"$67,840,323",$0.07886,"860,277,398 AGI *","$1,362,563",-2.20%,7.79%,26.47%
JUST,JST,"$67,266,431",$0.02976,"2,260,326,706 JST *","$131,333,682",-1.87%,10.09%,26.88%
Travala.com,AVA,"$67,410,785",$1.45,"46,523,617 AVA *","$9,785,970",2.24%,-4.29%,67.28%
Wanchain,WAN,"$65,993,435",$0.3904,"169,028,581 WAN *","$4,840,427",1.92%,8.76%,11.72%
WAX,WAXP,"$65,303,826",$0.04302,"1,517,980,996 WAXP *","$3,668,051",0.24%,2.69%,20.27%
Harmony,ONE,"$65,162,422",$0.007443,"8,754,867,000 ONE *","$10,000,545",0.08%,5.92%,27.50%
LBRY Credits,LBC,"$64,790,593",$0.1243,"521,054,807 LBC","$132,368,478",-6.86%,32.42%,75.55%
OriginTrail,TRAC,"$64,437,784",$0.1895,"340,021,689 TRAC *","$675,071",-3.62%,-0.21%,29.70%
Kin,KIN,"$63,329,637",$0.00004172,"1,518,114,145,968 KIN *","$620,679",6.93%,5.69%,-23.73%
Ankr,ANKR,"$61,535,488",$0.009472,"6,496,232,711 ANKR *","$22,248,376",-0.48%,4.11%,16.09%
LTO Network,LTO,"$61,165,127",$0.2241,"272,991,079 LTO *","$8,297,671",-0.04%,20.70%,23.17%
xDai,STAKE,"$59,816,362",$15.82,"3,781,458 STAKE *","$4,813,905",-2.92%,16.49%,22.09%
Aidos Kuneen,ADK,"$59,121,122",$2.36,"25,000,000 ADK *","$1,686,117",-4.69%,15.29%,25.41%
Electroneum,ETN,"$58,181,485",$0.005689,"10,227,457,321 ETN","$695,252",-1.73%,-0.99%,-0.41%
TrustSwap,SWAP,"$57,808,543",$0.8062,"71,704,138 SWAP *","$1,534,831",1.35%,8.72%,22.37%
Melon,MLN,"$57,542,687",$38.95,"1,477,188 MLN *","$5,876,256",0.80%,2.87%,20.52%
Hive,HIVE,"$56,138,062",$0.1349,"416,217,721 HIVE *","$5,197,603",1.32%,4.93%,15.06%
Polymath,POLY,"$55,907,341",$0.1006,"555,670,901 POLY *","$3,180,941",1.25%,2.57%,22.84%
Syscoin,SYS,"$54,926,832",$0.09084,"604,625,648 SYS","$4,043,274",-0.52%,15.82%,26.60%
Energi,NRG,"$54,383,479",$1.49,"36,554,371 NRG","$2,095,803",-1.69%,0.12%,18.42%
WaykiChain,WICC,"$54,473,979",$0.2882,"189,000,000 WICC *","$39,230,982",2.33%,9.05%,48.06%
Stratis,STRAX,"$53,925,752",$0.5389,"100,074,480 STRAX *","$1,936,654",-1.29%,2.43%,15.11%
Ark,ARK,"$52,876,018",$0.4179,"126,542,941 ARK *","$3,836,367",-0.14%,4.91%,12.50%
Divi,DIVI,"$51,929,064",$0.02469,"2,103,551,276 DIVI","$138,987",0.07%,1.45%,-8.71%
Tellor,TRB,"$51,195,521",$30.99,"1,652,173 TRB","$67,168,831",0.22%,-3.60%,57.82%
Uquid Coin,UQC,"$51,267,930",$5.13,"10,000,000 UQC *","$7,774,973",-0.94%,3.58%,18.93%
Handshake,HNS,"$50,658,327",$0.1450,"349,410,234 HNS *","$6,331,112",-1.02%,1.46%,27.26%
IRISnet,IRIS,"$49,701,991",$0.05275,"942,191,700 IRIS *","$7,793,389",-1.76%,3.02%,33.54%
Power Ledger,POWR,"$48,840,660",$0.1152,"423,992,467 POWR *","$9,082,801",0.01%,2.63%,18.66%
Loom Network,LOOM,"$48,722,203",$0.05020,"970,520,754 LOOM *","$28,700,559",1.94%,16.83%,8.58%
DIA,DIA,"$48,150,358",$1.70,"28,271,916 DIA *","$41,424,573",0.99%,0.68%,37.92%
Populous,PPT,"$46,717,662",$0.8773,"53,252,246 PPT *","$1,801,987",-0.97%,0.81%,24.44%
AdEx Network,ADX,"$45,083,972",$0.3981,"113,261,938 ADX *","$1,907,089",-0.56%,2.78%,24.94%
Elastos,ELA,"$44,852,933",$2.60,"17,244,540 ELA","$6,152,218",-1.73%,4.48%,21.22%
MCO,MCO,"$44,798,421",$2.84,"15,793,831 MCO *","$302,890",0.43%,2.00%,15.41%
Aion,AION,"$43,154,722",$0.08852,"487,496,874 AION","$2,382,063",-0.70%,3.98%,22.07%
Nimiq,NIM,"$42,539,914",$0.005934,"7,169,134,007 NIM","$2,894,046",0.33%,-3.75%,9.63%
bZx Protocol,BZRX,"$42,495,418",$0.3019,"140,775,558 BZRX *","$26,768,161",3.13%,12.17%,56.84%
SUN,SUN,"$41,058,561",$8.81,"4,659,773 SUN *","$112,655,809",-0.29%,14.13%,52.84%
MXC,MXC,"$41,124,716",$0.01631,"2,521,238,083 MXC *","$5,061,111",5.11%,11.61%,15.45%
Haven Protocol,XHV,"$41,112,854",$2.86,"14,357,209 XHV *","$744,586",-2.67%,2.24%,-7.38%
ReddCoin,RDD,"$35,275,968",$0.001224,"28,808,713,174 RDD *","$133,717",0.63%,7.93%,7.80%
